window_index,start_idx,end_idx,repeat_sim,repeat_eq,cw_persist,code_change,inrep_line,inrep_ng4_text,inrep_ng4_all,code_dup_msg_inwin,code_dup_msg_lookback,code_repeat_excess,code_repeat_penalty,dup_max_inwin,high_dup_penalty,high_dup_penalty_w,high_dup_flag,done_hits,stuck_hits,ai_wrong_hits,q_densi ty,code_line_rate,fenced_blocks,progress_score,inrep_ng4,cluster
55,440,451,0.42105263157894735,0.25,0.291314097139956,0.5128366110668047,0.4347826086956522,0.0,0.451181592039801,0.0,0.5,0.451181592039801,0.1831659611686532,0.451181592039801,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,-0.40452180375154356,0.0,2
56,448,459,0.610738255033557,0.23809523809523808,0.4521283867760378,0.3974485712940733,0.4347826086956522,0.0,0.08097432521395653,0.0,0.5,0.08097432521395653,0.0325274635641119,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.3333333333333333,0.0,-0.3616497918213827,0.0,0
57,456,467,0.2129783693843594,0.23809523809523808,0.1921407220274652,0.17689121949766107,0.4347826086956522,0.005847953216374324,0.020593080724876422,0.0,0.0,0.014745127508502098,0.007079825621093548,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.16666666666666666,0.0,-0.16776389197403407,0.005847953216374324,1
58,464,475,0.125,0.23809523809523808,0.09346330275229359,0.792845102079041,0.4347826086956522,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.25,0.0,0.01340129010794143,0.0,1
59,472,483,0.15135135135135136,0.23809523809523808,0.08876107512471149,0.9270411117544876,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.08333333333333333,0.0,0.1274103704065941,0.0,1
60,480,491,0.34285714285714286,0.23809523809523808,0.23421926910299004,0.6878048780487804,0.4347826086956522,0.02898550724637683,0.015625,0.0,0.25,0.0,0.0,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.3333333333333333,0.0,-0.08159152418766716,0.02898550724637683,1
61,488,499,0.2324561403508772,0.25,0.1570006023642798,0.9364666542819989,0.4782608695652174,0.02564102564102566,0.5625806451612902,0.1428571428571429,0.3333333333333333,0.5369396195202646,0.02700657662736607,0.5625806451612902,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.5833333333333334,0.6666666666666666,-0.05540525195808477,0.02564102564102566,2
62,496,507,0.47520661157024796,0.25,0.30704775022956843,0.08815537440420507,0.4347826086956522,0.0,0.6285714285714286,0.0,0.5,0.6285714285714286,0.42986960920944617,0.6285714285714286,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.5833333333333334,0.5,0.0,-0.5570296720785035,0.0,2
63,504,515,0.2513089005235602,0.23809523809523808,0.19887620758395583,0.9559385415819852,0.4347826086956522,0.0,0.0,0.0,0.5,0.0,0.0,0.4347826086956522,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.4166666666666667,0.16666666666666666,0.0,0.23875744522072667,0.0,1
64,512,523,0.25,0.23809523809523808,0.2245762711864407,0.6002949852507375,0.4347826086956522,0.0,0.004484304932735439,0.0,0.0,0.004484304932735439,0.0013442993769594068,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,-0.031177049975454278,0.0,1
65,520,531,0.31921824104234525,0.23809523809523808,0.2167078859532714,0.6986644407345576,0.4347826086956522,0.0,0.25921521997621877,0.0,0.3333333333333333,0.25921521997621877,0.06509230273470713,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,1.0,-0.148624475489382,0.0,2
66,528,539,0.289568345323741,0.25,0.20078417266187049,0.29901436883980526,0.4782608695652174,0.0,0.2894941634241245,0.1428571428571429,0.3333333333333333,0.2894941634241245,0.16065390535149987,0.4782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5833333333333334,0.3333333333333333,-0.42238593163400695,0.0,2
67,536,547,0.5756929637526652,0.25,0.35651185905234806,0.348610609888127,0.4347826086956522,0.0,0.11094890510948907,0.0,0.4,0.11094890510948907,0.05119191557326886,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.4166666666666667,0.0,-0.3521410687793582,0.0,0
68,544,555,0.15195071868583163,0.2631578947368421,0.1865948283694645,0.2091676319708754,0.5217391304347826,0.0,0.31869918699186994,0.4,0.3333333333333333,0.31869918699186994,0.17852665652256391,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4166666666666667,1.0,-0.52191025195147,0.0,2
69,552,563,0.2291296625222025,0.2222222222222222,0.18021368622293332,0.5890476028907814,0.5217391304347826,0.0847457627118644,0.5507998270644185,0.16666666666666663,0.6,0.46605406435255414,0.1436445261961321,0.5507998270644185,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.5,0.0,-0.24570980359071076,0.0847457627118644,2
70,560,571,0.4108761329305136,0.2631578947368421,0.27751697390076513,0.27513117348213545,0.4347826086956522,0.10526315789473684,0.5740469208211143,0.0,0.14285714285714285,0.46878376292637747,0.26901366609743205,0.5740469208211143,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5833333333333334,0.0,-0.5060535117388136,0.10526315789473684,2
71,568,579,0.6727574750830565,0.23809523809523808,0.4899057084958851,0.060042812029756476,0.4347826086956522,0.11428571428571432,0.4265895953757225,0.0,0.2857142857142857,0.3123038810900082,0.2323955533070663,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.5833333333333334,0.0,-0.666679986034667,0.11428571428571432,2
72,576,587,0.4506517690875233,0.23809523809523808,0.37838710903355754,0.49951561717053616,0.4347826086956522,0.0,0.2855626326963907,0.0,0.6,0.2855626326963907,0.10123474357214875,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.4166666666666667,0.0,-0.36916181932964826,0.0,2
73,584,595,0.2019704433497537,0.23809523809523808,0.15594705373594556,0.3698534542916957,0.4347826086956522,0.0,0.17573221757322177,0.0,0.4,0.17573221757322177,0.07843874366034334,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4166666666666667,0.0,-0.25170185318076915,0.0,2
74,592,603,0.1322314049586777,0.23809523809523808,0.1058508018170872,0.9672049689440994,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.08333333333333333,0.0,0.1421963192528226,0.0,1
